Project,DeploymentID,Site,Cruise,Status,Platform,Region,Type,Instrument_ID,GPS_Tracker,GPS_ID,GPS_Timing,Depth_Sensor,Deployment_Latitude,Deployment_Longitude,Deployment_Date,"Deployment_Depth_m
",Deploy_Vessel,Recovery_Date,Recovery_Latitude,Recovery_Longitude,Retrieve_Vessel,Array_name,Number_of_Sensors,ChannelNumber_1,SensorNumber_1,ChannelNumber_2,SensorNumber_2,ChannelNumber_3,SensorNumber_3,PreAmp_ID,Data_Start,Data_End,RecordingDuration_m,RecordingInterval_m,SampleRate_kHz,Quality_Analyst,Quality_Category,Quality_LowFreq,Quality_HighFreq,Data_ID,High Pass Filter,Detector,Threshold,Integration Time,Blanking Time,Store Snippets,Snippet pre-trig,Snippet post-trig,Pressure,Acceleration,Temperature,Log GPS,Disable Calibration Tones,Weight Retrieval System,Acoustic Release Number,Enable Code,Anode Length,Number of SUD files,Known Takes,SanctuaryPermit,Personnel,Notes
ADRIFT,43,ORE,ADRIFT,Complete,drift,WCoastUSA,ST4300HF,5986,Solar,SO-692,NA,17435,44.77816667,-124.7205667,3/16/2023 18:53:00,100,R/V Elakha,3/20/2023 23:30:00,44.69511,-124.60888,R/V Pacific Storm,H02_9299,2,1,856159,2,856177,NA,NA,NA,3/16/2023 18:52:27,3/20/2023 08:53:16,Continuous,NA,384,Cory Hom-Weaver,good,50,192000,ADRIFT_043,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,,Yes,NA,NA,NA,NA,,NA,NA,"Craig Hayslip, Angela Szesciorka",ORE March deployments
ADRIFT,44,ORE,ADRIFT,Complete,drift,WCoastUSA,ST4300HF,5991,Solar,SO-865,NA,17438,44.54475,-124.6553667,3/16/2023 20:10:00,100,R/V Elakha,3/21/2023 02:10:00,44.54705,-124.51382,R/V Pacific Storm,T_9299,2,1,856136,2,856145,NA,NA,NA,3/16/2023 20:14:58,3/20/2023 21:11:30,Continuous,NA,384,Cory Hom-Weaver,compromised,75,192000,ADRIFT_044,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,,Yes,NA,NA,NA,NA,,NA,NA,"Craig Hayslip, Angela Szesciorka","ORE March deployments; Ch 1 has lower recieved levels than expected, use CH2  only"
ADRIFT,45,ORE,ADRIFT,Complete,drift,WCoastUSA,ST4300HF,5994,Solar,SO-588,NA,17439,44.61528333,-124.6186833,3/16/2023 18:01:00,100,R/V Elakha,3/21/2023 01:40:00,44.54106,-124.5816033,R/V Pacific Storm,V01_9299,2,1,856138,2,856151,NA,NA,NA,3/16/2023 18:59:58,3/20/2023 11:40:17,Continuous,NA,384,Cory Hom-Weaver,good,50,192000,ADRIFT_045,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,,Yes,NA,NA,NA,NA,,NA,NA,"Craig Hayslip, Angela Szesciorka",ORE March deployments
ADRIFT,46,MBY,CCC,Complete,drift,WCoastUSA,ST640,6655,Solar,SO-135,30,16639/16528,35.62419386,-121.8505283,3/11/2023 18:55:00,100,R/V Shearwater,3/16/2023 21:37:00,35.25666,-121.6134,R/V Shearwater,J02_9299,2,1,856158,2,856172,NA,NA,NA,3/11/2023 19:00:00,3/16/2023 21:30:01,6,6,384,Cory Hom-Weaver,good,30,192000,ADRIFT_046,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,No,Yes,NA,NA,NA,NA,,NA,CHNMS,"Anne Simonis, Shannon Rankin, Cory Hom-Weaver, Kaitlin Palmer, Kourtney Burger, & Shearwater crew",Overlaps with day light savings time change
ADRIFT,47,MBY,CCC,Complete,drift,WCoastUSA,ST640,6668,Solar,SO-777,30,16647/16656,35.62972532,-121.9802548,3/11/2023 19:16:00,100,R/V Shearwater,3/16/2023 21:11:00,35.26058,-121.68873,R/V Shearwater,N01_9296,3,1,856117,2,856128,3,856118,NA,3/11/2023 19:30:00,3/16/2023 21:12:01,6,6,384,Cory Hom-Weaver,good,50,192000,ADRIFT_047,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,No,Yes,NA,NA,NA,NA,,NA,CHNMS,"Anne Simonis, Shannon Rankin, Cory Hom-Weaver, Kaitlin Palmer, Kourtney Burger, & Shearwater crew","Only used CH 2, Overlaps with day light savings time change"
ADRIFT,48,MBY,CCC,Complete,drift,WCoastUSA,ST640,7519,Solar,SO-359,30,16658/15737,35.62915861,-122.0844465,3/11/2023 19:51:00,100,R/V Shearwater,3/18/2023 18:23:00,35.35003,-120.943,R/V Shearwater,L02_9299,2,1,856157,2,856169,NA,NA,NA,3/11/2023 19:54:00,3/18/2023 18:12:02,6,6,384,Cory Hom-Weaver,good,50,192000,ADRIFT_048,NA,No,NA,NA,NA,NA,NA,NA,No,No,NA,No,Yes,NA,NA,NA,NA,,NA,CHNMS,"Anne Simonis, Shannon Rankin, Cory Hom-Weaver, Kaitlin Palmer, Kourtney Burger, & Shearwater crew","Ogger pole was barely out of the water when we recovered it. Everything was intact but the pole was full of water, Overlaps with day light savings time change"
ADRIFT,49,MBY,CCC,Complete,drift,WCoastUSA,ST640,6671,Solar,SO-866,30,15968/15766,35.62906925,-122.1830466,3/11/2023 20:22:00,100,R/V Shearwater,3/16/2023 17:54:00,35.4120833,-120.8007,R/V Shearwater,X01_9299,2,1,856140,2,856150,NA,NA,NA,3/11/2023 20:36:00,3/16/2023 17:42:01,6,6,384,Cory Hom-Weaver,good,0,192000,ADRIFT_049,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,No,Yes,NA,NA,NA,NA,,NA,CHNMS,"Anne Simonis, Shannon Rankin, Cory Hom-Weaver, Kaitlin Palmer, Kourtney Burger, & Shearwater crew",Overlaps with day light savings time change
ADRIFT,50,MBY,CCC,Complete,drift,WCoastUSA,ST640,6664,Solar,SO-082,30,16530/15801,35.5439932,-122.177762,3/11/2023 20:52:00,100,R/V Shearwater,3/16/2023 20:10:00,35.24386,-121.91488,R/V Shearwater,B02_9299,2,1,856165,2,856173,NA,NA,NA,3/11/2023 21:00:00,3/16/2023 20:00:01,6,6,384,Cory Hom-Weaver,good,30,192000,ADRIFT_050,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,No,Yes,NA,NA,NA,NA,,NA,CHNMS,"Anne Simonis, Shannon Rankin, Cory Hom-Weaver, Kaitlin Palmer, Kourtney Burger, & Shearwater crew",Overlaps with day light savings time change
ADRIFT,51,MBY,CCC,Complete,drift,WCoastUSA,ST640,6667,Solar,SO-506,30,16583/16557,35.54540894,-122.0818228,3/11/2023 21:19:00,100,R/V Shearwater,3/16/2023 19:33:00,35.24386,-121.9148,R/V Shearwater,K02_9299,2,1,856154,2,856170,NA,NA,NA,3/11/2023 21:30:00,3/16/2023 19:24:01,6,6,384,Cory Hom-Weaver,good,50,192000,ADRIFT_051,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,No,Yes,NA,NA,NA,NA,,NA,CHNMS,"Anne Simonis, Shannon Rankin, Cory Hom-Weaver, Kaitlin Palmer, Kourtney Burger, & Shearwater crew",Overlaps with day light savings time change
ADRIFT,52,MBY,CCC,Complete,drift,WCoastUSA,ST640,7517,Solar,SO-919,30,16409/15761,35.54511705,-121.9806422,3/11/2023 21:44:00,100,R/V Shearwater,3/17/2023 00:02:00,35.088,-121.7386,R/V Shearwater,F02_9299,2,1,856164,2,856175,NA,NA,NA,3/11/2023 21:54:00,3/16/2023 22:54:01,6,6,384,Cory Hom-Weaver,good,75,192000,ADRIFT_052,NA,No,NA,NA,NA,NA,NA,NA,No,No,NA,No,Yes,NA,NA,NA,NA,,NA,CHNMS,"Anne Simonis, Shannon Rankin, Cory Hom-Weaver, Kaitlin Palmer, Kourtney Burger, & Shearwater crew",Overlaps with day light savings time change
ADRIFT,53,MBY,CCC,Complete,drift,WCoastUSA,ST640,6665,Solar,SO-602,30,16431/16536,35.54311385,-121.872749,3/11/2023 22:10:00,100,R/V Shearwater,3/17/2023 00:37:00,34.95593,-121.70421,R/V Shearwater,Z01_9299,2,1,856135,2,856148,NA,NA,NA,3/11/2023 22:18:00,3/16/2023 23:30:01,6,6,384,Cory Hom-Weaver,good,50,192000,ADRIFT_053,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,No,Yes,NA,NA,NA,NA,,NA,CHNMS,"Anne Simonis, Shannon Rankin, Cory Hom-Weaver, Kaitlin Palmer, Kourtney Burger, & Shearwater crew",Overlaps with day light savings time change
ADRIFT,54,HUM,Scrimshaw,Complete,drift,WCoastUSA,ST4300HF,5984,Solar,SO-305,NA,15518,40.83895,-124.5385,3/16/2023 18:30:00,100,F/V Scrimshaw,3/18/2023 16:57:00,40.80312,-124.52767,F/V Scrimshaw,C02_9299,2,1,856155,2,856166,NA,NA,NA,3/16/2023 18:29:58,3/18/2023 16:59:48,Continuous,NA,384,Cory Hom-Weaver,compromised,250,192000,ADRIFT_054,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,No,Yes,NA,NA,NA,NA,,NA,NA,Eric Bjorkstedt,"No depth data, sensor doesn't connect"
ADRIFT,55,HUM,Scrimshaw,Complete,drift,WCoastUSA,ST4300STD,8025,Solar,SO-798,NA,15865,40.84346667,-124.6252833,3/16/2023 18:50:00,100,F/V Scrimshaw,3/18/2023 17:08:00,40.87655,-124.45437,F/V Scrimshaw,G02_9299,2,1,856161,2,856176,NA,NA,NA,3/16/2023 18:29:58,3/18/2023 17:29:52,Continuous,NA,288,Cory Hom-Weaver,compromised,250,192000,ADRIFT_055,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,No,Yes,NA,NA,NA,NA,,NA,NA,Eric Bjorkstedt,
ADRIFT,56,HUM,Scrimshaw,Unusable,drift,WCoastUSA,ST4300HF,1071,Solar,SO-638,NA,16396,40.84366667,-124.6681333,3/16/2023 19:10:00,100,F/V Scrimshaw,3/18/2023 17:28:00,40.9361,-124.5078,F/V Scrimshaw,A02_9299,2,1,856156,2,856167,NA,NA,NA,NA,NA,Continuous,NA,384,Kourtney Burger,unusable,NA,NA,ADRIFT_056,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,No,Yes,NA,NA,NA,NA,,NA,NA,Eric Bjorkstedt,"No data, recorder wasn't turned on"
ADRIFT,57,HUM,Scrimshaw,Complete,drift,WCoastUSA,ST4300HF,5992,Solar,SO-001,NA,16408,40.84618333,-124.7094333,3/16/2023 19:30:00,100,F/V Scrimshaw,3/18/2023 18:03:00,41.08561,-124.50659,F/V Scrimshaw,D02_9299,2,1,856162,2,856168,NA,NA,NA,3/16/2023 19:14:57,3/18/2023 16:59:48,Continuous,NA,384,Cory Hom-Weaver,compromised,1000,192000,ADRIFT_057,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,No,Yes,NA,NA,NA,NA,,NA,NA,Eric Bjorkstedt,Knocking on the recorder through most of the deployment
ADRIFT,58,ORE,ADRIFT,Complete,drift,WCoastUSA,ST4300HF,5296,Solar,SO-533,NA,17434,43.81065,-124.61415,4/13/2023 07:35:00,100,R/V Pacific Storm,4/16/2023 17:12:00,43.26737,-124.67334,R/V Pacific Storm,E02_9299,2,1,856163,2,856171,NA,NA,NA,4/13/2023 07:49:55,4/16/2023 17:09:47,Continuous,NA,384,Cory Hom-Weaver,good,1500,192000,ADRIFT_058,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,,Yes,NA,NA,NA,NA,,NA,NA,"Craig Hayslip, Daniel Palacios, Ladd Irvine, crew of Storm",ORE April deployment part 1; MOSAIC cruise
ADRIFT,59,ORE,ADRIFT,Complete,drift,WCoastUSA,ST4300HF,5986,Solar,SO-692,NA,17435,43.89408333,-124.7331667,4/13/2023 06:00:00,100,R/V Pacific Storm,4/16/2023 21:10:00,43.69092,-124.50425,R/V Pacific Storm,H02_9299,2,1,856159,2,856177,NA,NA,NA,4/13/2023 06:15:13,4/16/2023 18:18:58,Continuous,NA,384,Cory Hom-Weaver,good,100,192000,ADRIFT_059,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,,Yes,NA,NA,NA,NA,,NA,NA,"Craig Hayslip, Daniel Palacios, Ladd Irvine, crew of Storm",ORE April deployment part 1; MOSAIC cruise
ADRIFT,60,ORE,ADRIFT,Complete,drift,WCoastUSA,ST4300HF,5991,Solar,SO-865,NA,17438,43.8128,-124.7406667,4/13/2023 06:45:00,100,R/V Pacific Storm,4/16/2023 18:28:00,43.35256,-124.56476,R/V Pacific Storm,T_9299,2,1,856136,2,856145,NA,NA,NA,4/13/2023 06:58:23,4/16/2023 18:13:06,Continuous,NA,384,Cory Hom-Weaver,compromised,75,192000,ADRIFT_060,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,,Yes,NA,NA,NA,NA,,NA,NA,"Craig Hayslip, Daniel Palacios, Ladd Irvine, crew of Storm","ORE April deployment part 1; Ch 1 has lower recieved levels than expected, use CH2  only, Possibly why the noise looks different in this drift;; MOSAIC cruise"
ADRIFT,61,ORE,ADRIFT,Complete,drift,WCoastUSA,ST4300HF,5994,Solar,SO-588,NA,17439,43.8833,-124.6160333,4/13/2023 05:15:00,100,R/V Pacific Storm,4/16/2023 19:03:00,43.39276,-124.47833,R/V Pacific Storm,V01_9299,2,1,856138,2,856151,NA,NA,NA,4/13/2023 05:14:02,4/16/2023 18:56:46,Continuous,NA,384,Cory Hom-Weaver,compromised,730,192000,ADRIFT_061,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,,Yes,NA,NA,NA,NA,,NA,NA,"Craig Hayslip, Daniel Palacios, Ladd Irvine, crew of Storm",ORE April deployment part 1; MOSAIC cruise
ADRIFT,62,ORE,ADRIFT,Complete,drift,WCoastUSA,ST4300HF,5296,Solar,SO-533,NA,17434,45.07783333,-124.3935,4/26/2023 03:45:00,100,R/V Pacific Storm,4/29/2023 05:15:00,45.1584,-124.5925,R/V Pacific Storm,E02_9299,2,1,856163,2,856171,NA,NA,NA,4/26/2023 03:37:21,4/29/2023 05:28:54,Continuous,NA,384,Cory Hom-Weaver,good,250,192000,ADRIFT_062,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,,Yes,NA,NA,NA,NA,,NA,NA,"Craig Hayslip, Daniel Palacios, Ladd Irvine, crew of Storm",ORE April deployment part 2; MOSAIC cruise
ADRIFT,63,ORE,ADRIFT,Complete,drift,WCoastUSA,ST4300HF,5986,Solar,SO-692,NA,17435,45.15816667,-124.3968333,4/26/2023 03:05:00,100,R/V Pacific Storm,4/29/2023 21:15:00,45.385,-124.5665,R/V Pacific Storm,H02_9299,2,1,856159,2,856177,NA,NA,NA,4/26/2023 03:03:34,4/29/2023 03:44:57,Continuous,NA,384,Cory Hom-Weaver,good,250,192000,ADRIFT_063,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,,Yes,NA,NA,NA,NA,,NA,NA,"Craig Hayslip, Daniel Palacios, Ladd Irvine, crew of Storm",ORE April deployment part 2; MOSAIC cruise
ADRIFT,64,ORE,ADRIFT,Complete,drift,WCoastUSA,ST4300HF,5991,Solar,SO-865,NA,17438,45.2415,-124.3993333,4/26/2023 02:25:00,100,R/V Pacific Storm,4/29/2023 20:35:00,45.40716667,-124.4928333,R/V Pacific Storm,T_9299,2,1,856136,2,856145,NA,NA,NA,4/26/2023 02:06:08,4/29/2023 07:20:35,Continuous,NA,384,Cory Hom-Weaver,compromised,700,192000,ADRIFT_064,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,,Yes,NA,NA,NA,NA,,NA,NA,"Craig Hayslip, Daniel Palacios, Ladd Irvine, crew of Storm","ORE April deployment part 2; Ch 1 has lower recieved levels than expected, use CH2  only; MOSAIC cruise"
ADRIFT,65,ORE,ADRIFT,Complete,drift,WCoastUSA,ST4300HF,5994,Solar,SO-588,NA,17439,45.3245,-124.402,4/26/2023 01:50:00,100,R/V Pacific Storm,4/29/2023 07:15:00,45.2014,-124.2783333,R/V Pacific Storm,V01_9299,2,1,856138,2,856151,NA,NA,NA,4/26/2023 02:59:55,4/29/2023 06:47:59,Continuous,NA,384,Cory Hom-Weaver,compromised,1000,192000,ADRIFT_065,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,,Yes,NA,NA,NA,NA,,NA,NA,"Craig Hayslip, Daniel Palacios, Ladd Irvine, crew of Storm",ORE April deployment part 2; MOSAIC cruise
ADRIFT,66,SFB,ACCESS,Unusable,drift,WCoastUSA,ST640,6671,Solar,SO-919,NA,16557,37.72205,-123.23272,5/8/2023 03:08:00,100,R/V Shimada,5/13/2023 20:51:00,37.569893,-123.536577,R/V Shimada,K02_9299,2,1,856154,2,856170,NA,NA,NA,NA,NA,6,6,384,Kourtney Burger,unusable,NA,NA,ADRIFT_066,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,,Yes,NA,NA,NA,NA,,NA,GFNMS,Jan Roletto,"Soundtrap was flooded upon recovery; About 4 minutes of data was recovered from corroded SD cards (data on DON, not packaged for passive packer). Tracking link: https://fleetone.lonestartracking.com/share?95518b08ac3d4f2b37b84c72226eed4f"
ADRIFT,67,SFB,ACCESS,Complete,drift,WCoastUSA,ST640,6668,Solar,SO-506,NA,16656,37.80117,-123.38492,5/8/2023 04:18:00,100,R/V Shimada,5/12/2023 01:46:00,37.43115,-123.47074,R/V Shimada,J02_9299,2,1,856158,2,856172,NA,NA,NA,5/8/2023 04:18:02,5/12/2023 01:36:03,6,6,384,Cory Hom-Weaver,compromised,50,192000,ADRIFT_067,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,,Yes,NA,NA,NA,NA,,NA,GFNMS,Jan Roletto,"Anchor was missing on retrieval. There is a possibility it grounded at Rittenburg Bank on 3/9/23. We need to check the recordings when they are back. Tracking link: https://fleetone.lonestartracking.com/share?95518b08ac3d4f2b37b84c72226eed4f . Snapping shrimp sounds start to appear 05/09/2023 02:50, flow noise is high after 05/10/2023 08:17:04"
ADRIFT,68,HUM,ADRIFT,Complete,drift,WCoastUSA,ST4300HF,5992,Solar,SO-001,NA,16546,40.8272,-124.539467,5/7/2023 00:25:00,100,F/V Scrimshaw,5/9/2023 16:08:00,41.01357,-124.57364,F/V Scrimshaw,C02_9299,2,1,856155,2,856166,NA,NA,NA,5/7/2023 00:29:58,5/9/2023 16:14:48,Continuous,NA,384,Cory Hom-Weaver,compromised,250,192000,ADRIFT_068,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,,Yes,NA,NA,NA,NA,,NA,NA,Eric Bjorkstedt,"Ch 1 has lower recieved levels than expected, use CH2 only"
ADRIFT,69,HUM,ADRIFT,Unusable,drift,WCoastUSA,ST4300HF,1071,Solar,SO-305,NA,15865,40.82845,-124.588217,5/7/2023 00:37:00,100,F/V Scrimshaw,5/9/2023 00:00:00,41.16206,-124.41831,F/V Scrimshaw,G02_9299,2,1,856161,2,856176,NA,NA,NA,NA,NA,Continuous,NA,384,Kourtney Burger,unusable,NA,NA,ADRIFT_069,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,,Yes,NA,NA,NA,NA,,NA,NA,Eric Bjorkstedt,"Something is wrong with the recordings. The signal looks super weak in both channels. Data deleted from DON, SUD files on PAM2, not packaged for passive packer"
ADRIFT,70,HUM,ADRIFT,Complete,drift,WCoastUSA,ST4300HF,5984,Solar,SO-798,NA,16396,40.827433,-124.64165,5/7/2023 00:59:00,100,F/V Scrimshaw,5/9/2023 17:30:00,40.8005,-125.02851,F/V Scrimshaw,A02_9299,2,1,856156,2,856167,NA,NA,NA,5/7/2023 00:52:27,5/9/2023 17:44:46,Continuous,NA,384,Cory Hom-Weaver,good,50,192000,ADRIFT_070,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,,Yes,NA,NA,NA,NA,,NA,NA,Eric Bjorkstedt,
ADRIFT,71,HUM,ADRIFT,Complete,drift,WCoastUSA,ST4300STD,8025,Solar,SO-638,NA,16408,40.8274,-124.6979,5/7/2023 01:17:00,100,F/V Scrimshaw,5/9/2023 17:59:00,40.76916,-125.09938,F/V Scrimshaw,D02_9299,2,1,856162,2,856168,NA,NA,NA,5/7/2023 00:59:58,5/9/2023 17:59:48,Continuous,NA,288,Cory Hom-Weaver,compromised,250,192000,ADRIFT_071,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,,Yes,NA,NA,NA,NA,,NA,NA,Eric Bjorkstedt,
ADRIFT,72,ORE,ADRIFT,Complete,drift,WCoastUSA,ST4300HF,5296,Solar,SO-533,NA,17434,44.61386667,-124.7515667,5/17/2023 18:20:00,100,R/V Elakha,5/26/2023 05:28:00,44.20557,-124.8223,R/V Pacific Storm,E02_9299,2,1,856163,1,856171,NA,NA,NA,5/17/2023 18:13:55,5/23/2023 13:36:53,Continuous,NA,384,Cory Hom-Weaver,good,50,192000,ADRIFT_072,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,,Yes,NA,NA,NA,NA,,NA,NA,"Craig Hayslip, Hannah Sawyer, crew of Elakha",May deployment
ADRIFT,73,ORE,ADRIFT,Complete,drift,WCoastUSA,ST4300HF,5986,Solar,SO-692,NA,17435,44.64125,-124.7832,5/17/2023 18:45:00,100,R/V Elakha,5/26/2023 11:32:00,43.57674,-124.9721,R/V Pacific Storm,H02_9299,2,1,856159,1,856177,NA,NA,NA,5/17/2023 18:38:29,5/21/2023 06:28:32,Continuous,NA,384,Cory Hom-Weaver,good,50,192000,ADRIFT_073,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,,Yes,NA,NA,NA,NA,,NA,NA,"Craig Hayslip, Hannah Sawyer, crew of Elakha",May deployment
ADRIFT,74,ORE,ADRIFT,Complete,drift,WCoastUSA,ST4300HF,5991,Solar,SO-865,NA,17438,44.61011667,-124.8104167,5/17/2023 19:06:00,100,R/V Elakha,5/26/2023 11:00:00,43.60559,-125.01611,R/V Pacific Storm,T01_9299,2,1,856136,1,856145,NA,NA,NA,5/17/2023 18:58:58,5/21/2023 20:30:14,Continuous,NA,384,Cory Hom-Weaver,compromised,250,192000,ADRIFT_074,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,,Yes,NA,NA,NA,NA,,NA,NA,"Craig Hayslip, Hannah Sawyer, crew of Elakha","May deployment; Ch 1 has lower recieved levels than expected, use CH2  only"
ADRIFT,75,ORE,ADRIFT,Complete,drift,WCoastUSA,ST4300HF,5994,Solar,SO-588,NA,17439,44.583,-124.7810167,5/17/2023 19:02:00,100,R/V Elakha,5/26/2023 05:39:00,44.22705,-124.84481,R/V Pacific Storm,V01_9299,2,1,856138,1,856151,NA,NA,NA,5/17/2023 19:25:22,5/21/2023 09:00:04,Continuous,NA,384,Cory Hom-Weaver,good,250,192000,ADRIFT_075,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,,Yes,NA,NA,NA,NA,,NA,NA,"Craig Hayslip, Hannah Sawyer, crew of Elakha",May deployment
ADRIFT,76,ORE,ADRIFT,Unusable,drift,WCoastUSA,ST4300HF,5296,Solar,SO-533,NA,17434,44.6520667,-124.65207,7/17/2023 19:05:00,100,R/V Elakha,7/21/2023 20:15:00,44.4635,-124.942,R/V Pacific Storm,E02_9299,2,1,856163,1,856171,NA,NA,NA,NA,NA,6,6,384,Kourtney Burger,unusable,NA,NA,ADRIFT_076,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,,Yes,NA,NA,NA,NA,,NA,NA,"Craig Hayslip, Marissa Garcia, crew of Elakha/Storm","July deployment, recorder didn't start"
ADRIFT,77,ORE,ADRIFT,Complete,drift,WCoastUSA,ST4300HF,5986,Solar,SO-692,NA,17435,44.7479333,-124.74793,7/17/2023 20:00:00,100,R/V Elakha,7/21/2023 21:20:00,44.43216667,-124.8083333,R/V Pacific Storm,H02_9299,2,1,856159,1,856177,NA,NA,NA,7/17/2023 19:08:24,7/21/2023 08:34:54,6,6,384,Cory Hom-Weaver,compromised,150,192000,ADRIFT_077,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,,Yes,NA,NA,NA,NA,,NA,NA,"Craig Hayslip, Marissa Garcia, crew of Elakha/Storm",July deployment
ADRIFT,78,ORE,ADRIFT,Complete,drift,WCoastUSA,ST4300HF,5994,Solar,SO-588,NA,17439,44.73705,-124.67712,7/17/2023 18:25:00,100,R/V Elakha,7/21/2023 21:00:00,44.45266667,-124.8458333,R/V Pacific Storm,V01_9299,2,1,856138,1,856151,NA,NA,NA,7/17/2023 20:03:06,7/21/2023 11:22:38,6,6,384,Cory Hom-Weaver,compromised,55,192000,ADRIFT_078,NA,No,NA,NA,NA,NA,NA,NA,No,10,NA,,Yes,NA,NA,NA,NA,,NA,NA,"Craig Hayslip, Marissa Garcia, crew of Elakha/Storm","July deployment, lots of noise throughout the drift"
ADRIFT,79,MBY,CCC,Complete,drift,WCoastUSA,ST640,6664,Solar,SO-866,NA,15766/16431,35.627767,-121.637933,7/11/2023 19:58:00,100,R/V Fulmar,7/16/2023 16:28:00,35.399233,-121.457383,R/V  Fulmar,K02_9299,2,1,856154,2,856170,NA,NA,NA,7/11/2023 19:54:00,7/16/2023 16:24:02,6,6,384,Cory Hom-Weaver,good,200,192000,ADRIFT_079,NA,No,NA,NA,NA,NA,NA,NA,No,10,No ,,Yes,NA,NA,NA,NA,,NA,"CHNMS, MBNMS",Cory Hom-Weaver,
ADRIFT,80,MBY,CCC,Complete,drift,WCoastUSA,ST640,6655,Solar,SO-602,NA,15968/16536,35.6299,-121.754417,7/11/2023 20:38:00,100,R/V Fulmar,7/16/2023 20:23:00,35.875933,-121.757017,R/V  Fulmar,B02_9299,2,1,856165,2,856173,NA,NA,NA,7/11/2023 20:42:00,7/16/2023 20:12:01,6,6,384,Cory Hom-Weaver,good,50,192000,ADRIFT_080,NA,No,NA,NA,NA,NA,NA,NA,No,10,No ,,Yes,NA,NA,NA,NA,,NA,MBNMS,Cory Hom-Weaver,
ADRIFT,81,MBY,CCC,Complete,drift,WCoastUSA,ST640,7517,Solar,SO-135,NA,16597/16636,35.541633,-121.749383,7/11/2023 21:18:00,100,R/V Fulmar,7/16/2023 17:53:00,35.65765,-121.529567,R/V  Fulmar,Z01_9299,2,1,856135,2,856148,NA,NA,NA,7/11/2023 21:18:00,7/16/2023 17:42:02,6,6,384,Cory Hom-Weaver,good,250,192000,ADRIFT_081,NA,No,NA,NA,NA,NA,NA,NA,No,No,No ,,Yes,NA,NA,NA,NA,,NA,MBNMS,Cory Hom-Weaver,
ADRIFT,82,MBY,CCC,Complete,drift,WCoastUSA,ST640,7521,Solar,SO-777,NA,16409/16557,35.539133,-121.634117,7/11/2023 21:58:00,100,R/V Fulmar,7/15/2023 18:40:00,35.6299,-121.754417,R/V  Fulmar,U01_9299,2,1,856137,2,856149,NA,NA,NA,7/11/2023 21:54:00,7/15/2023 18:42:01,6,6,384,Cory Hom-Weaver,good,25,192000,ADRIFT_082,NA,No,NA,NA,NA,NA,NA,NA,No,No,No ,,Yes,NA,NA,NA,NA,,NA,CHNMS,Cory Hom-Weaver,
ADRIFT,83,MBY,CCC,Complete,drift,WCoastUSA,ST640,6665,Solar,SO-506,NA,16528/15761,35.54235,-121.484383,7/11/2023 22:41:00,100,R/V Fulmar,7/16/2023 17:20:00,35.635383,-121.421917,R/V  Fulmar,X01_9299,2,1,856140,2,856150,NA,NA,NA,7/11/2023 22:42:00,7/16/2023 17:18:01,6,6,384,Cory Hom-Weaver,good,25,192000,ADRIFT_083,NA,No,NA,NA,NA,NA,NA,NA,No,10,No ,,Yes,NA,NA,NA,NA,,NA,"CHNMS, MBNMS",Cory Hom-Weaver,"At first glance, lots of odontocetes"
